"price" "yrbuilt" "stories" "tla" "wall" "beds" "baths" "frontage" "garage" "rooms" "lotsize" "longitude" "latitude"
303000 1978 "one+half" 304 "half or less brick exterior" 4 3 54 "attached" 12 4970 -83.879637 41.416896
92000 1957 "one" 85 "Aluminum, vinyl, or steel siding" 2 1 30 "detached" 4 3521 -83.877162 41.417204
90000 1937 "two" 182 "Stucco or Dryvit plaster" 3 1 59 "attached" 7 4915 -83.872713 41.41773
330000 1887 "one+half" 133 "Horizontal or vertical wood siding or shakes" 4 1 61 "no garage" 7 4047 -83.866698 41.425219
185000 1978 "two" 205 "half or less brick exterior" 3 2 73 "attached" 7 20977 -83.838238 41.429278
100000 1989 "one" 114 "Horizontal or vertical wood siding or shakes" 1 1 47 "detached" 5 19891 -83.869641 41.429529
43065 1927 "one" 77 "Horizontal or vertical wood siding or shakes" 2 1 98 "detached" 4 2183 -83.842477 41.4297
305000 1990 "one+half" 280 "half or less brick exterior" 3 2 110 "attached" 6 30184 -83.831475 41.431215
56493 1877 "one" 96 "Horizontal or vertical wood siding or shakes" 3 1 152 "detached" 7 32906 -83.865976 41.432072
50000 1936 "one" 89 "Horizontal or vertical wood siding or shakes" 2 1 67 "detached" 6 3437 -83.839996 41.43282
122500 1956 "one" 158 "Aluminum, vinyl, or steel siding" 4 2 75 "detached" 6 4441 -83.863774 41.432956
315000 1969 "two" 395 "half or less brick exterior" 5 2 57 "carport" 10 10061 -83.82681 41.433486
16000 1997 "two" 203 "Aluminum, vinyl, or steel siding" 4 2 65 "attached" 8 4108 -83.840084 41.435442
155000 1992 "one" 143 "Horizontal or vertical wood siding or shakes" 3 2 62 "attached" 5 19212 -83.835248 41.435758
90500 1943 "one" 111 "Horizontal or vertical wood siding or shakes" 3 1 64 "no garage" 6 3465 -83.838368 41.43743
175000 1986 "one" 178 "half or less brick exterior" 3 2 62 "attached" 6 19686 -83.880367 41.437452
119000 1877 "two" 186 "Aluminum, vinyl, or steel siding" 3 2 49 "detached" 6 3279 -83.834598 41.43755
120000 1850 "two" 132 "Horizontal or vertical wood siding or shakes" 2 1 146 "no garage" 6 23105 -83.815135 41.438204
170000 1993 "one" 208 "half or less brick exterior" 2 2 22 "attached" 4 11669 -83.821137 41.43846
184000 1929 "two" 206 "Horizontal or vertical wood siding or shakes" 3 2 61 "basement" 8 4047 -83.810443 41.438849
88500 1933 "one" 105 "Horizontal or vertical wood siding or shakes" 3 1 21 "detached" 4 4264 -83.878193 41.439134
180000 1967 "one" 215 "Full brick exterior" 3 2 61 "attached" 7 4047 -83.818624 41.439194
148000 1978 "two" 164 "Horizontal or vertical wood siding or shakes" 3 2 46 "detached" 6 4199 -83.863306 41.439427
17500 1997 "one" 179 "half or less brick exterior" 3 2 76 "attached" 5 14087 -83.875299 41.439557
135000 1988 "one+half" 178 "Horizontal or vertical wood siding or shakes" 3 2 60 "attached" 6 8563 -83.874017 41.440125
210000 1978 "one+half" 133 "Horizontal or vertical wood siding or shakes" 2 2 45 "attached" 5 19723 -83.815032 41.440864
