City latitude longitude
Berlin 52.5234051 13.4113999
Bochum 51.482901 7.21181
Bonn 50.7327045 7.0963113
Bremen 53.074981 8.807081
Chemnitz 50.827845 12.9213697
Cottbus 51.7607292 14.3274885
Dortmund 51.5120542 7.4635729
Dresden 51.0509912 13.7336335
Duisburg 51.4351458 6.7626911
Duesseldorf 51.2277411 6.7734556
Frankfurt.(Main) 50.1115118 8.6805059
Freiburg.(Breisgau) 47.9990077 7.8421043
Halle.(Saale) 51.482166 11.965814
Hamburg 53.5534074 9.9921962
Hannover 52.3720683 9.7356861
Karlsruhe 49.0080848 8.4037563
Kassel 51.318928 9.49601
Kiel 54.322684 10.13586
Koeln 50.9406645 6.9599115
Leipzig 51.3396731 12.3713639
Leverkusen 51.0459248 7.0192196
Luebeck 53.869563 10.687579
Magdeburg 52.1310756 11.6365834
Mainz 49.9951227 8.2674264
Muenchen 48.1366069 11.5770851
Muenster 51.964711 7.628496
Neuss.(Stadt) 51.2041968 6.6879511
Nuernberg 49.4451843 11.087422
Oberhausen 51.4964886 6.8515156
Potsdam 52.3968507 13.0584812
Regensburg 49.016491 12.100904
Rostock 54.0902349 12.1329501
Saarbruecken.(Stadt) 49.2401572 6.9969327
Schwerin 53.6283333333331 11.415833
Stuttgart 48.7771056 9.1807688
Ulm 48.399623 9.996607
Wiesbaden 50.08408 8.2383918
Wilhelmshaven 53.5323403 8.1068722
Wolfsburg 52.4378553 10.7663771
Wuppertal 51.255871 7.149985
Wuerzburg 49.7915953 9.9535715
Zwickau 50.7102169 12.4733724
